Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,,-,,b'United States',,,,,,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,0,0,0,9,0,0,0,7,9,0,0,0,0.305,100,164.9,0.12,1018,1.1,313,2.1,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,0,30,0,9,0,0,0,7,9,0,0,0,0.304,100,164.66,0.12,1018,1.1,314,1.9,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,1,0,0,9.1,0,0,0,7,9.1,0,0,0,0.302,100,161.97,0.12,1018,1.1,315,1.8,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,1,30,0,8.9,0,0,0,8,8.9,0,0,0,0.301,100,157.72,0.12,1018,1.1,315,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,2,0,0,8.7,0,0,0,7,8.7,0,0,0,0.3,100,152.62,0.12,1018,1.2,315,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,2,30,0,8.6,0,0,0,7,8.6,0,0,0,0.299,100,147.1,0.12,1018,1.3,319,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,3,0,0,8.4,0,0,0,7,8.4,0,0,0,0.298,100,141.35,0.12,1018,1.4,324,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,3,30,0,8.3,0,0,0,8,8.3,0,0,0,0.296,100,135.48,0.12,1017,1.6,324,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,4,0,0,8.3,0,0,0,7,8.3,0,0,0,0.294,100,129.57,0.12,1017,1.8,325,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,4,30,0,8.3,0,0,0,8,8.3,0,0,0,0.294,100,123.66,0.12,1017,2.1,323,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,5,0,0,8.3,0,0,0,7,8.3,0,0,0,0.293,100,117.79,0.12,1017,2.4,321,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,5,30,0,8.3,0,0,0,4,8.3,0,0,0,0.292,100,111.97,0.12,1017,2.6,320,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,6,0,0,8.3,0,0,0,7,8.3,0,0,0,0.292,100,106.25,0.12,1018,2.8,319,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,6,30,0,8.4,0,0,0,7,8.4,0,0,0,0.292,100,100.65,0.12,1018,2.9,312,1.6,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,7,0,0,8.5,0,0,0,7,8.5,0,0,0,0.292,100,95.21,0.12,1017,3,304,1.5,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,7,30,0,9.1,0,0,0,7,8.5,0,7,0,0.292,96.3,89.48,0.12,1018,3,295,1.7,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,8,0,18,9.7,26,386,61,4,9,0,7,18,0.292,95.46,84.79,0.12,1018,3,287,1.8,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,8,30,60,10.4,39,557,134,7,9,8,7,62,0.294,91.1,80.13,0.12,1018,2.9,284,2,,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,9,0,47,11.1,47,667,211,0,9.7,667,0,211,0.295,91,75.78,0.12,1018,2.8,282,2.3,,,,,,,,,,,,,,,,,,,,,,,
